  Fecha    Hora        MW      MVAR       MVA     Ampere     KVolt     
01/01/2020 00:15      0,00      0,16      0,16      0,76      0,00
01/01/2020 00:30      0,00      0,16      0,16      0,76      0,00
01/01/2020 00:45      0,00      0,14      0,14      0,76      0,00
01/01/2020 01:00      0,00      0,14      0,14      0,69      0,00
01/01/2020 01:15      0,00      0,17      0,17      0,92      0,00
01/01/2020 01:30      0,00      0,15      0,15      0,76      0,00
01/01/2020 01:45      0,00      0,16      0,16      0,76      0,00
01/01/2020 02:00      0,00      0,15      0,15      0,76      0,00
01/01/2020 02:15      0,00      0,15      0,15      0,69      0,00
01/01/2020 02:30      0,00      0,15      0,15      0,84      0,00
01/01/2020 02:45      0,00      0,15      0,15      0,84      0,00
01/01/2020 03:00      0,00      0,17      0,17      0,76      0,00
01/01/2020 03:15      0,00      0,16      0,16      0,76      0,00
01/01/2020 03:30      0,00      0,17      0,17      0,76      0,00
01/01/2020 03:45      0,00      0,16      0,16      0,76      0,00
01/01/2020 04:00      0,00      0,15      0,15      0,84      0,00
01/01/2020 04:15      0,00      0,16      0,16      0,92      0,00
01/01/2020 04:30      0,00      0,16      0,16      0,76      0,00
01/01/2020 04:45      0,00      0,16      0,16      0,76      0,00
01/01/2020 05:00      0,00      0,16      0,16      0,76      0,00
01/01/2020 05:15      0,00      0,15      0,15      0,76      0,00
01/01/2020 05:30      0,00      0,16      0,16      0,92      0,00
01/01/2020 05:45      0,00      0,15      0,15      0,69      0,00
01/01/2020 06:00      0,00      0,15      0,15      0,92      0,00
01/01/2020 06:15      0,00      0,17      0,17      0,69      0,00
01/01/2020 06:30      0,00      0,18      0,18      0,76      0,00
01/01/2020 06:45      0,00      0,16      0,16      0,69      0,00
01/01/2020 07:00      0,00      0,16      0,16      0,69      0,00
01/01/2020 07:15      0,00      0,16      0,16      0,69      0,00
01/01/2020 07:30      0,00      0,17      0,17      0,76      0,00
01/01/2020 07:45      0,00      0,16      0,16      0,69      0,00
01/01/2020 08:00      0,00      0,17      0,17      0,76      0,00
01/01/2020 08:15      0,00      0,17      0,17      0,76      0,00
01/01/2020 08:30      0,00      0,17      0,17      0,76      0,00
01/01/2020 08:45      0,00      0,16      0,16      0,76      0,00
01/01/2020 09:00      0,00      0,15      0,15      0,76      0,00
01/01/2020 09:15      0,00      0,15      0,15      0,76      0,00
01/01/2020 09:30      0,00      0,16      0,16      0,76      0,00
01/01/2020 09:45      0,00      0,18      0,18      0,69      0,00
01/01/2020 10:00      0,00      0,17      0,17      0,76      0,00
01/01/2020 10:15      0,00      0,18      0,18      0,76      0,00
01/01/2020 10:30      0,00      0,17      0,17      0,69      0,00
